Series Name,Series Code,Country Name,Country Code,1970 [YR1970],1971 [YR1971],1972 [YR1972],1973 [YR1973],1974 [YR1974],1975 [YR1975],1976 [YR1976],1977 [YR1977],1978 [YR1978],1979 [YR1979],1980 [YR1980],1981 [YR1981],1982 [YR1982],1983 [YR1983],1984 [YR1984],1985 [YR1985],1986 [YR1986],1987 [YR1987],1988 [YR1988],1989 [YR1989],1990 [YR1990],1991 [YR1991],1992 [YR1992],1993 [YR1993],1994 [YR1994],1995 [YR1995],1996 [YR1996],1997 [YR1997],1998 [YR1998],1999 [YR1999],2000 [YR2000]
GDP per capita (constant LCU),NY.GDP.PCAP.KN,Austria,AUT,16315.260598311,17073.4214147837,18028.2322806617,18805.412388291,19513.5063148783,19494.1820735798,20422.7620687262,21451.997309878,21424.146077155,22610.2827698798,23001.752184568,22910.0624809248,23354.0873287264,24087.3188123106,24101.1866267695,24691.8020326544,25244.0100747788,25570.4265553259,26375.8301729512,27277.9104114446,28247.2439550134,28929.1285976811,29211.5035770362,29124.2329361861,29709.2694438263,30455.2432614964,31128.7411498179,31744.4601502427,32845.3040440207,33947.278663878,35008.9582985399
GDP per capita (constant LCU),NY.GDP.PCAP.KN,Azerbaijan,AZE,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,1599.37544472628,1567.18988351464,1194.80672712864,904.984082297059,716.968584423192,625.100320760978,626.851938683499,656.842305361528,715.701200556047,761.946835363753,839.597060358323
GDP per capita (constant LCU),NY.GDP.PCAP.KN,"Bahamas, The",BHS,27727.8145560867,27368.1353082919,25748.4051618628,27069.9129779571,22055.533032401,18407.7028497785,18966.1881447304,20266.1255062572,22657.4173722517,28005.5108407598,29247.9227391513,26059.7629140783,27299.9735134036,27754.9069660471,31086.3052825746,31955.6045153275,31898.326474223,32231.6746922258,32364.0937615801,33885.4858125058,32705.7325535621,30727.4261205978,28932.0069652059,28397.5645812801,28710.6211968149,29411.8582960001,30113.3409634248,29986.0399586035,30880.0309450282,32582.617275316,33439.1749278493
GDP per capita (constant LCU),NY.GDP.PCAP.KN,Bahrain,BHR,..,..,..,..,..,..,..,..,..,..,7906.09385126656,7191.52107675595,6417.10641736804,6594.31383593727,6685.67973149944,6145.3541294964,5999.53553563337,6391.05097896327,6601.12778454784,6399.89927030932,6463.43188679172,6947.62081749671,7157.6803073205,7807.32786642382,7531.8406618413,7576.50611648236,7640.80103547023,7637.10313295324,7766.80203543876,7870.80113215235,8063.01848920924
GDP per capita (constant LCU),NY.GDP.PCAP.KN,Bangladesh,BGD,48382.7369417844,45173.5841963839,38317.291739016,38590.9647948877,41247.2831598801,38632.8687555211,39922.3096292565,40067.3983525962,41899.0960860318,42892.0258993549,42201.7704889517,44085.8578981563,43806.2378011505,44261.7546923208,45153.4968556616,45483.3839730994,46266.5401953146,46951.9476915872,47056.8926825805,47374.5176398532,48985.4263339491,49720.438312686,51470.4627742181,52875.4551542123,53888.9228628862,55601.0739079319,57105.777868671,58612.5064804983,60501.0892753273,62125.372367682,64179.1756334288
GDP per capita (constant LCU),NY.GDP.PCAP.KN,Barbados,BRB,..,..,..,..,22211.2098372592,21679.9378153709,22509.624360301,23207.6204207271,24208.9251951125,25982.5834921176,26986.098787341,26358.1536335223,24972.4223719107,25013.1576382527,25835.7658417516,26055.499765423,27336.7651043078,28014.2584301809,28984.1630533077,30027.9410571227,29022.513404515,27833.2472378779,26167.1252670899,26295.5229027376,26750.7794827902,27228.0530531485,28257.9825185602,29548.977296903,30602.1043688031,30643.1464587198,31947.0106590795
GDP per capita (constant LCU),NY.GDP.PCAP.KN,Belarus,BLR,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,6075.18886939758,5999.5183170575,5411.66249203492,4989.34879700753,4410.80511256772,3964.92331489506,4089.68700345458,4574.88551690928,4981.56376269452,5174.16988456266,5500.12377237187
GDP per capita (constant LCU),NY.GDP.PCAP.KN,Belgium,BEL,16087.6857442285,16698.4528947205,17514.0200687563,18573.1784530863,19360.0826980505,18924.7074188578,19958.7799304294,20058.9687578011,20609.7859918976,21073.326359599,21985.5924015254,21924.7685004395,22061.2127082538,22131.7671721025,22677.9618263014,23045.689280554,23457.3935265316,23978.02524236,25030.8511781454,25805.3054948244,26535.6647921184,26921.8573547906,27223.2652786546,26856.2957417218,27637.6309944153,28237.5196696476,28554.8159297216,29566.4528257595,30082.1875274429,31076.6163600377,32153.5617607609
GDP per capita (constant LCU),NY.GDP.PCAP.KN,Belize,BLZ,3896.51444495874,3978.85569038948,4316.58824300447,4482.33698660317,5021.08277833632,5114.751006277,5010.72848267969,5229.9869699862,5532.52360155454,5827.19090013984,6459.41600569645,6373.20342717266,6214.08203309464,5938.9076546799,5916.9498462354,5841.00211700176,5969.01173476601,6463.32684074915,6940.19223249415,7672.84886670377,8220.68501545964,8998.11111535696,9939.59423285519,10338.9826818606,10116.0762504603,9932.77113232211,9741.81793383221,9814.00849841869,9842.91340336584,10408.2579323238,11309.4307408889
GDP per capita (constant LCU),NY.GDP.PCAP.KN,Benin,BEN,431893.948786202,416483.871258112,433695.747254474,439878.536583854,444392.38336934,412952.591985741,406777.243291028,416678.828909102,411412.984890816,427091.032859875,443976.340781635,474840.59309884,471945.521330609,438749.627522398,460135.008700068,480624.556810283,476836.139396781,455919.496108482,457507.383728535,431235.005723259,455869.070808364,460804.177972381,460113.618582507,465767.878866794,457753.296724817,475541.326130061,483522.33062964,496589.268808362,500800.346056603,511665.678979829,525427.681503762
GDP per capita (constant LCU),NY.GDP.PCAP.KN,Bermuda,BMU,54038.3150436364,56305.3757655678,57749.0872546126,59041.6302267658,60005.6781348315,62736.6994811321,68087.515137218,71832.884258427,72604.5341753731,73888.3559553903,78488.7498426925,79802.836390554,75041.0333531714,75890.2338101198,75589.2812292859,73456.4647122922,77692.6735056289,79955.4361925011,82488.4964659708,82159.0102938427,81503.0021963389,79028.6677623219,79555.6719856643,81510.9641826515,81432.9602157788,84409.1420346132,86052.5436977166,89463.42959155,92272.2478381438,94861.1503630578,102780.466741061
GDP per capita (constant LCU),NY.GDP.PCAP.KN,Bhutan,BTN,..,..,..,..,..,..,..,..,..,..,29299.2746950245,32676.8030374782,32764.3164481767,35084.5272589069,35580.6027432905,35916.7632578301,38836.3939413538,48669.6604553645,49541.8155203606,51704.4959798544,55618.4154779247,54487.2811435478,59266.4576326076,63357.2800674715,66440.5857774717,70294.3230937777,72831.5240209662,75430.274845603,78417.4358388143,82624.7410853621,83038.4373879172
GDP per capita (constant LCU),NY.GDP.PCAP.KN,Bolivia,BOL,2269.39978777472,2332.14118031247,2462.52068461706,2546.24825794207,2562.79807509925,2689.01751968105,2750.57036032076,2822.94891233403,2816.71749403769,2758.01095112987,2660.56384473148,2610.15126878176,2453.72137035784,2304.72089875674,2251.78837371829,2167.68147972127,2067.73530847586,2074.32116355708,2089.92300520362,2123.85199332902,2176.25616323796,2243.85057000858,2234.67388039547,2283.73033614338,2343.95374566432,2407.37945724724,2465.86544340747,2540.88056961133,2620.58793077483,2584.33395125424,2601.78753810231
GDP per capita (constant LCU),NY.GDP.PCAP.KN,Bosnia and Herzegovina,BIH,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,1141.82785667392,1383.66880174439,2509.35484374516,3255.675205077,3701.99897498432,4020.309779837,4504.95340184478
GDP per capita (constant LCU),NY.GDP.PCAP.KN,Botswana,BWA,8874.51478030192,10946.1631498793,13335.9510823444,15422.6614960761,15946.737862671,16429.8006902541,17266.0875707728,18368.4042622341,19952.1361146236,21271.4866990562,22677.1910669657,23621.2425376714,25452.1474844565,27774.5070554189,29093.2594850172,30084.1908738829,31423.6826154153,33973.4283070348,39264.944065006,43014.9287011322,44565.5117542207,46532.8809402398,46538.1740626947,46081.6290787834,46442.2916123506,48416.4159379749,49991.029150489,52909.7146763462,51977.8577507143,55794.2938994702,55736.0123567952
GDP per capita (constant LCU),NY.GDP.PCAP.KN,Brazil,BRA,8119.75089711637,8821.40749424393,9637.77570825255,10722.0744378063,11323.227141439,11630.7500074892,12525.7432380849,12837.7173587599,13161.0360738156,13723.3074061551,14637.6910326177,13693.1397324929,13494.4613021271,12807.8163670552,13205.8938082945,13941.1763854101,14678.4401593166,14895.4750863206,14600.835905821,14782.4135908186,13885.778065285,13788.480935501,13487.8948355554,13925.2483596799,14507.7353456884,14886.1101413074,14983.8377763498,15261.8393653932,15090.2287686204,14947.0457482456,15391.109141832
GDP per capita (constant LCU),NY.GDP.PCAP.KN,British Virgin Islands,VGB,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
GDP per capita (constant LCU),NY.GDP.PCAP.KN,Brunei Darussalam,BRN,..,..,..,..,62525.1947328175,60649.093972553,70484.286700916,75659.6652204503,78210.9986604305,92814.8545487521,83578.5755716498,64874.8932245916,65246.3734237153,63395.4968846827,61649.0604708359,58696.6616993593,55190.5249874899,54429.0599549034,53231.0915683538,50980.4775806572,49940.7696008063,49997.7873712295,50950.3770510713,49795.757482096,50091.4182951684,51081.6865431616,51333.5886164418,49444.9458040004,48103.4102551288,48526.8005931905,48881.0799398669
GDP per capita (constant LCU),NY.GDP.PCAP.KN,Bulgaria,BGR,..,..,..,..,..,..,..,..,..,..,6049.08574259426,6324.38835930289,6452.91853484687,6657.63872285743,6867.6743996744,7052.06825665888,7350.74036173232,7784.33205114186,8626.60385087212,8440.98601764205,7811.01770312959,7222.53025155209,6769.5863217615,6722.79402330863,6868.29941194451,7096.40846307792,7504.40724224084,6484.48905855919,6775.25516587205,6241.29225744596,6559.91379373653
GDP per capita (constant LCU),NY.GDP.PCAP.KN,Burkina Faso,BFA,163834.712097976,163352.057096324,164321.304182759,162196.986621961,172415.364827777,174104.674735161,185006.444771056,181443.203836817,185152.02616263,187041.710421383,183555.019387803,186241.346878672,198529.667540175,193678.327564431,184827.06640645,194845.635613161,204486.783529916,198509.339530214,204469.716299696,203430.24985065,196974.94431553,209479.245277982,204859.150893025,206747.899086135,204252.82403895,210464.235130509,227752.00939441,236002.841534086,246382.567904493,256975.126123309,254130.794811834
GDP per capita (constant LCU),NY.GDP.PCAP.KN,Burundi,BDI,194576.642090505,195219.976848582,182864.926959833,195886.462142827,189756.194768242,186534.441458944,197058.37524136,214260.495179033,206361.273077009,204826.438386856,198443.819254346,213763.130822672,206385.325040616,208426.88078678,203760.554901133,222901.812723625,225870.077251629,232937.566649456,239362.880284682,237994.800134805,241378.838843844,248410.369559171,244441.860550558,236939.332519684,226592.425633788,196464.861482377,180817.039605551,178141.652405137,183156.653494252,177057.627625733,171992.77754235
GDP per capita (constant LCU),NY.GDP.PCAP.KN,Cabo Verde,CPV,..,..,..,..,..,..,..,..,..,..,58923.8844377242,63029.6590052613,63879.777276234,68978.2577452961,70627.1926075395,75737.2743338272,76916.9504880582,79208.2066501637,82885.0598243463,86405.0510765216,85472.6572280089,84775.7515675264,91776.4718665155,97272.3292210063,113072.512230646,126088.444560044,137185.409031204,149023.52607894,164035.828937744,178625.48356749,200300.075504472
GDP per capita (constant LCU),NY.GDP.PCAP.KN,Cambodia,KHM,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,1342464.74015356,842850.767288374,902300.011474855,933033.641782439,949283.003409243,973499.037927336,1075984.46424853,1162044.97071956
GDP per capita (constant LCU),NY.GDP.PCAP.KN,Cameroon,CMR,545303.721554733,549415.715995081,549019.311317712,562784.501037909,606217.221531359,655905.703166389,603496.518359764,668914.492565884,794051.472561981,818471.35482218,776344.479371861,877136.720867301,920346.085690859,962929.434028175,1005746.51331378,1054063.70520388,1091113.12949484,1034823.39843041,924991.354526801,881167.661365243,802662.326814528,749331.393022707,705095.693568691,630546.409556737,624277.875083412,624706.037725652,633596.828377724,644901.552106669,657758.37796085,669455.710109815,677028.102730566
GDP per capita (constant LCU),NY.GDP.PCAP.KN,Canada,CAN,..,..,..,..,..,..,..,..,..,..,..,36092.9603908797,34529.3604213443,35079.1141417457,36802.6734275123,38195.5426947236,38628.9245654778,39675.8089631254,40891.8894314731,41095.3614357941,40547.0901557025,39210.9047123451,39098.3570911751,39700.0264670122,41032.4493960707,41704.0723852805,41938.644389582,43301.1677476333,44616.4303219219,46540.098665563,48496.0312822931
GDP per capita (constant LCU),NY.GDP.PCAP.KN,Cayman Islands,CYM,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
GDP per capita (constant LCU),NY.GDP.PCAP.KN,Central African Republic,CAF,220626.249180112,218483.68529346,214181.470858506,214024.286114381,223180.406420742,219706.234043382,228202.48375029,234491.351159327,234928.6145099,226800.996850224,214405.72423193,208868.869853053,222557.2258458,202220.595030975,218899.418197784,224864.134426133,230155.157605711,216114.198151548,216365.507755242,215227.070576104,204224.231557432,196870.51854142,178455.11973519,173406.825057799,176271.800000251,183838.891862743,171927.446136099,176071.687149701,179338.543553646,180696.839709358,171332.767605615
GDP per capita (constant LCU),NY.GDP.PCAP.KN,Chad,TCD,262714.088696224,251653.219529869,249097.453743712,223058.759208312,228996.789523664,244523.186863233,247036.918596481,248058.542365068,242604.868993219,186715.210261684,175212.855817414,177000.230947616,177847.973015652,195725.656999658,197244.210776181,237954.663428343,221527.540795911,208783.185684113,233096.412809833,236395.204826845,220435.766163057,230723.109998166,238885.578634431,196818.150700652,212011.241774986,205414.955966564,200882.226176692,205101.004875401,212010.65489359,203367.137365604,194811.450639455
GDP per capita (constant LCU),NY.GDP.PCAP.KN,Channel Islands,CHI,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
GDP per capita (constant LCU),NY.GDP.PCAP.KN,Chile,CHL,3011331.60254206,3240990.05949557,3156905.58466859,2950995.27707497,2973719.93242099,2549152.62535419,2606348.46238688,2835278.25322999,3007596.54691143,3212733.57140566,3419263.91182782,3589869.57044123,3148532.69040896,2948331.73202077,3026054.18725277,3101783.36747698,3219457.455341,3373991.37044223,3564171.10322651,3855120.37264498,3919667.3670796,4157314.49382813,4547660.10389995,4772469.30960469,4937653.57441878,5301846.91529241,5585549.14722969,5919918.35759299,6090333.2202421,6001764.20734548,6228172.17819228
GDP per capita (constant LCU),NY.GDP.PCAP.KN,China,CHN,1766.02468707038,1839.47676556435,1863.20796515202,1962.46651291471,1966.74480113289,2100.80679041243,2036.07416891859,2160.55977773185,2373.29188224255,2519.62107854229,2683.14732502241,2784.43355172219,2991.13347690223,3265.75354075242,3712.83584843704,4154.53565635208,4459.53812760406,4900.1923945312,5363.07296493531,5503.63155479452,5636.0796717475,6074.68457646118,6854.26157952565,7716.66454142765,8624.63732060227,9465.96680015438,10296.7407326188,11133.2991841961,11892.1520441891,12692.9083972269,13662.4686028139
GDP per capita (constant LCU),NY.GDP.PCAP.KN,Colombia,COL,6608788.31417212,6839094.60658386,7197935.57921012,7510947.28517429,7768536.06389869,7777204.89822755,7971478.47141902,8122631.61367777,8613393.31587665,8872427.88169179,9024496.35250654,9019850.90335684,8899663.37512517,8834352.98508908,8924549.18590491,9001898.25228311,9324638.26540505,9618850.20374441,9800440.21147832,9923469.37800591,10133092.5963808,10127402.7245458,10330148.482401,10673960.2949438,11076781.3767895,11434484.4505719,11458525.7762265,11642034.4722692,11507039.2698646,10840264.4128878,10978053.1305069
GDP per capita (constant LCU),NY.GDP.PCAP.KN,Comoros,COM,..,..,..,..,..,..,..,..,..,..,461084.647060257,465220.452918168,481986.901136138,492338.622496399,499220.595956944,497029.149474245,492648.96339505,487068.107546984,486450.854020144,458056.074588164,468497.097089203,432036.936128264,457804.808053158,461054.826274826,427354.597256895,433371.919960311,418662.803871427,426269.174489588,422593.655697449,422148.266763923,458949.84331859
GDP per capita (constant LCU),NY.GDP.PCAP.KN,"Congo, Dem. Rep.",COD,364764.35586458,376191.708526143,366834.358442504,386147.6977754,387689.753664123,358719.921484302,331026.699812843,325274.754857097,298548.799188207,289559.537856198,286985.974184578,285718.128470168,276736.245227056,273038.332404476,279732.019224861,272644.222579372,277180.298682445,276005.989770172,268779.925645744,257179.026779243,232530.440059797,206037.025257716,178931.058695614,149946.747896533,137395.339969891,132687.377670885,128850.379588396,119704.068439482,115005.923120085,106990.548397092,96750.8100541635
GDP per capita (constant LCU),NY.GDP.PCAP.KN,"Congo, Rep.",COG,600097.465899875,627240.151990162,660598.71015045,693135.917833988,724979.703280431,759568.587358879,747895.632147605,664664.905716334,690336.417837154,740694.856052226,851780.68258352,979750.345729041,1184917.37524024,1228438.08933161,1281384.22072008,1228856.73642642,1110976.76094882,1080638.592121,1068157.90024213,1064815.47682648,1045591.51970186,1041285.79481586,1039542.55049073,1000308.81134144,918779.826990656,929932.622727782,944252.495229169,919278.429251519,933464.946584565,885398.141387542,916805.035752689
GDP per capita (constant LCU),NY.GDP.PCAP.KN,Costa Rica,CRI,2591747.15565095,2695117.92015265,2840889.91320587,2982564.99972336,3068432.76214815,3053335.6361484,3139022.65707178,3329316.85446368,3444238.3905678,3517353.70491449,3448325.14208034,3279289.32191313,2957599.03731408,2959038.79277736,3109138.28822046,3046531.56318522,3128956.10473027,3192015.40179068,3217018.42296135,3313687.80620727,3345318.35353279,3335398.43039513,3551808.55909756,3710690.42001872,3785251.65799598,3850125.55725728,3813134.6784697,3932476.16542775,4123436.08411635,4209105.19399297,4286505.31678157
GDP per capita (constant LCU),NY.GDP.PCAP.KN,Cote d'Ivoire,CIV,1367067.65374873,1433084.08940092,1428571.52791713,1446327.51132144,1441740.54339927,1491260.73956143,1615815.21205596,1670120.74448145,1783789.30038064,1758991.60156211,1508257.58392834,1503510.40100232,1451559.68969568,1344760.82158575,1262285.70837627,1273739.29561951,1271194.02062576,1224697.98765846,1196029.48160011,1186201.17294485,1129112.69002077,1087683.1618748,1045382.03451014,1005907.09279231,978372.169318341,1011628.80969686,1052204.33117506,1114269.68730562,1123428.37948697,1102682.56590921,1070046.34983901
GDP per capita (constant LCU),NY.GDP.PCAP.KN,Croatia,HRV,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,6584.81738951158,7079.45366007362,7552.96847104785,7727.42743912309,7694.46121645806,8000.46200379513
GDP per capita (constant LCU),NY.GDP.PCAP.KN,Cuba,CUB,1630.45929697679,1739.80151099487,1795.21812890836,1831.18518359582,1826.58563948878,1978.41084356661,2066.99359505428,2230.36563062093,2363.44529694082,2378.23209658066,2254.96614064868,2688.1195850967,2910.03095709967,3044.24434741493,3259.22083745341,3284.01537671923,3259.38605790837,3152.92598463626,3238.85885986702,3229.36662814102,3104.8029987729,2750.26539573403,2415.99729518902,2045.69258515918,2051.60180200487,2094.41578122879,2251.10753875045,2306.38157971559,2302.59272828393,2437.06888483021,2572.91893931733
GDP per capita (constant LCU),NY.GDP.PCAP.KN,Curacao,CUW,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,36477.2792469745
GDP per capita (constant LCU),NY.GDP.PCAP.KN,Cyprus,CYP,..,..,..,..,..,5551.646484375,6731.0869140625,7831.4833984375,8409.3173828125,9170.7265625,9593.5556640625,9673.0693359375,10134.9111328125,10612.7763671875,11393.638671875,11805.5458984375,12103.2119140625,12818.181640625,13779.6455078125,14664.2314453125,15417.96875,15135.0888671875,16123.08203125,15848.56640625,16440.06640625,17494.78515625,17433.13671875,17641.67578125,18491.607421875,19199.76171875,20129.828125
GDP per capita (constant LCU),NY.GDP.PCAP.KN,Czechia,CZE,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,286000.463160319,253389.243210848,251848.095230573,251742.185345293,258972.582124678,275977.067667462,288083.720002276,286899.496910511,286147.490478536,290404.770193293,302872.054515901
GDP per capita (constant LCU),NY.GDP.PCAP.KN,Denmark,DNK,181168.799557373,185320.64388452,191504.080458435,198140.873273872,195006.894143199,191613.178185492,202455.98959586,205601.17199468,209526.695019521,217099.598166902,215788.470566327,214411.946956911,222475.528790635,228407.938764604,238048.377823152,247478.928234029,259268.7899348,259598.99544063,259437.586704087,260954.857719118,264374.736794193,267364.392590417,271696.820958469,270822.066064478,284301.820528679,291387.327446372,298145.781723761,306591.251337987,312255.874050449,320399.33319541,331295.103805217
GDP per capita (constant LCU),NY.GDP.PCAP.KN,Djibouti,DJI,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
GDP per capita (constant LCU),NY.GDP.PCAP.KN,Dominica,DMA,..,..,..,..,..,..,..,6447.91675986249,7094.21172245371,5768.68340135774,6521.89538271808,7232.73200680086,7563.00832401619,7794.65825277782,8159.3691484097,8314.6066872451,8950.35802555641,9569.59842630776,10377.8553826157,10420.4858823866,11063.1683481815,11267.410075064,11500.8970945711,11739.7967297489,11738.9230902627,12094.1893903267,12475.9274788191,12764.291194395,13273.5211349328,13367.055809485,13750.3292072689
GDP per capita (constant LCU),NY.GDP.PCAP.KN,Dominican Republic,DOM,52205.9596556737,56321.5521536505,60531.3038284575,66556.9693515994,68746.2784865249,70505.5663588796,73397.0404319279,75189.9587685091,74977.6147728218,76558.2261604618,80792.9422078599,82397.7051112919,81990.0048811475,83939.1306775932,83165.8556973906,79679.5461044427,80767.668791218,87100.1061287489,87135.862596787,89069.7694051017,82451.9004323746,81521.9571136631,88851.3158815942,93521.9857672985,94117.0343376834,97624.946310259,101619.944101042,108778.829804777,114231.939601015,119157.836864702,122822.943987272
GDP per capita (constant LCU),NY.GDP.PCAP.KN,Ecuador,ECU,1986.45607776139,2052.0350990341,2094.7431978854,2320.62172091929,2509.52573120172,2708.5831180393,2829.86478329554,2797.78650039665,2878.44000001037,2906.8609742644,2935.61037605805,3019.92468933633,2960.51352873169,2875.64679480934,2876.86095689683,2915.32216714999,2941.38984473919,2861.61692178409,2957.10961958268,2916.52668389456,2954.50464921127,3013.11663302072,3012.56397386822,3011.68570899634,3080.48863324325,3091.56729171696,3088.07044895378,3164.57738251051,3211.19933099956,3006.6727918991,2987.87384349448
